row_0,15,5,18,14,17,16,4,2,9,3,0,11,7,1,8,12,13,10,6
B cells,0.7190569744597249,0.0,0.0009823182711198428,0.05206286836935167,0.026522593320235755,0.025540275049115914,0.005893909626719057,0.026522593320235755,0.0,0.0,0.003929273084479371,0.02455795677799607,0.0,0.0019646365422396855,0.003929273084479371,0.0019646365422396855,0.08546168958742632,0.0009823182711198428,0.0206286836935167
CD4 T cells,0.0,0.7540810953133228,0.08876016616932889,0.0,0.0018138201392545784,0.0002925516353636417,0.0,0.0,0.0,5.851032707272834e-05,5.851032707272834e-05,0.0,0.0,5.851032707272834e-05,0.00011702065414545668,5.851032707272834e-05,0.11520683400620209,0.0394359604470189,5.851032707272834e-05
CD8 T cells,0.0,0.061579792059172425,0.7197683343800153,6.977880120019538e-05,0.00045356220780126997,0.0003488940060009769,0.0,0.0,0.0,0.0,0.0,0.0,6.977880120019538e-05,0.0005931198102016608,3.488940060009769e-05,6.977880120019538e-05,0.002372479240806643,0.2144651454888005,0.00017444700300048844
DC1,0.0,0.0,0.0,0.9733587059942912,0.024738344433872503,0.0009514747859181732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009514747859181732,0.0
DC2,0.0003970617431010522,0.0001985308715505261,0.0,0.6605122096486004,0.15485407980941035,0.017669247567996822,0.0,0.0007941234862021044,0.13043478260869565,0.004963271788763153,0.022235457613658922,0.0,0.0001985308715505261,0.0011911852293031567,0.0027794322017073653,0.0015882469724042088,0.0009926543577526306,0.0003970617431010522,0.0007941234862021044
Epithelial cells,0.11926605504587157,0.045871559633027525,0.0,0.0,0.01834862385321101,0.6238532110091743,0.01834862385321101,0.0,0.0,0.07339449541284404,0.01834862385321101,0.0,0.0,0.08256880733944955,0.0,0.0,0.0,0.0,0.0
Mast cells,0.0,0.0,0.0,0.0,0.0,0.017766497461928935,0.9137055837563451,0.0,0.0,0.0,0.0,0.0,0.0,0.04314720812182741,0.0,0.0,0.025380710659898477,0.0,0.0
Migratory DC,0.0,0.0027434842249657062,0.0,0.3484224965706447,0.13031550068587106,0.01646090534979424,0.0,0.4691358024691358,0.0027434842249657062,0.0,0.0013717421124828531,0.0,0.0,0.0013717421124828531,0.0,0.023319615912208505,0.0027434842249657062,0.0,0.0013717421124828531
MoAM,0.0,0.0007945841146743795,0.0,0.002860502812827766,0.12592569049359564,0.0686202841432794,0.0,6.356672917395035e-05,0.29768299272160953,0.007945841146743795,0.011855194990941741,0.0,0.010520293678288783,0.08556081746813718,0.18275434637510726,0.1473794615898039,0.00019070018752185107,0.000540317197978578,0.057305406350316244
Monocytes,0.0,0.0009293680297397769,0.0,0.0013940520446096654,0.262546468401487,0.00929368029739777,0.0,0.0,0.03903345724907063,0.6287174721189591,0.03856877323420074,0.0,0.0,0.004182156133828996,0.008828996282527882,0.0009293680297397769,0.0032527881040892194,0.0023234200743494425,0.0
Perivascular macrophages,0.0,0.00014594279042615295,0.0,0.004524226503210741,0.04305312317571512,0.054144775248102746,0.00014594279042615295,0.0,0.03794512551079977,0.06275539988324577,0.46395213076474023,0.0,0.005545826036193812,0.01036193812025686,0.28677758318739055,0.009486281377699942,0.0008756567425569177,0.0005837711617046118,0.019702276707530646
Plasma cells,0.40559440559440557,0.0,0.013986013986013986,0.01048951048951049,0.006993006993006993,0.027972027972027972,0.11538461538461539,0.013986013986013986,0.01048951048951049,0.013986013986013986,0.027972027972027972,0.2937062937062937,0.013986013986013986,0.006993006993006993,0.0034965034965034965,0.0034965034965034965,0.03146853146853147,0.0,0.0
Proliferating T cells,0.0,0.03651505445227418,0.03074951953875721,0.0006406149903907751,0.0006406149903907751,0.020499679692504803,0.0,0.0,0.0006406149903907751,0.0,0.0006406149903907751,0.0,0.0,0.0012812299807815502,0.0,0.0,0.2517616912235746,0.655349135169763,0.0012812299807815502
Proliferating macrophages,0.0,0.0007024938531787847,0.0,0.007727432384966632,0.003863716192483316,0.0414471373375483,0.0,0.0,0.01510361784334387,0.00017562346329469617,0.00825430277485072,0.0,0.13066385669125394,0.45767474534597824,0.04162276080084299,0.1505093080435546,0.0005268703898840885,0.0024587284861257463,0.13926940639269406
SARS-CoV-2,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.1282051282051282,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.0,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.0
TRAM,3.169019663767014e-05,4.75352949565052e-05,6.338039327534028e-05,0.00014260588486951563,0.006258813835939852,0.013737700242430003,1.584509831883507e-05,0.0,0.015987704203704583,0.0005387333428403924,0.012676078655068054,3.169019663767014e-05,0.17401086973744673,0.09079241336692494,0.07060575810872906,0.3123702682575145,0.00011091568823184547,0.0016003549302023418,0.30097764256627213
Tregs,0.0,0.017942583732057416,0.0011961722488038277,0.0,0.0005980861244019139,0.0017942583732057417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9736842105263158,0.004784688995215311,0.0
gdT cells and NK cells,0.0,0.11652435961828227,0.03967855349070819,0.0,0.0030135610246107484,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005022601707684581,0.0,0.0015067805123053742,0.024108488196885988,0.8086388749372175,0.0005022601707684581
