,B cells,CD4 T cells,CD8 T cells,DC1,DC2,Epithelial cells,Mast cells,Migratory DC,MoAM,Monocytes,Perivascular macrophages,Plasma cells,Proliferating T cells,Proliferating macrophages,SARS-CoV-2,TRAM,Tregs,gdT cells and NK cells,pDC
APOC2,-0.5906196044899915,-0.7162053103404619,-0.7034647575588129,-0.7234861801010072,0.3124763617598489,-0.8205983957602087,0.5605245928769685,-0.3116318358307735,1.392712804792431,-0.4601555780785186,1.569641534910945,-0.5924312998506361,-0.7764102375126253,1.662796502150554,-0.2201621156264425,2.4694788357972746,-0.8030840361458456,-0.4991245532638169,-0.7502567277288814
CCL18,-0.4231129592213413,-0.5296214355446617,-0.5566348559174545,-0.5762920776582565,-0.5752389072455449,-0.5462521839920819,-0.5160974572729503,-0.4344547381916175,0.8033449916576846,-0.4944586099256083,1.973094573210916,-0.5186798214598181,-0.5910414502170592,2.5464060645579374,0.0170007818964175,2.0190819920759893,-0.5630407272091824,-0.5120857091877814,-0.5219174703555861
APOC1,-0.4485072128987765,-0.571283204239623,-0.5778678850158288,-0.5826774982297102,-0.2658216980502336,-0.6372255440491184,-0.2469485947193553,-0.0348812740823637,1.5372164897996563,-0.4138283116413935,1.610226369645536,-0.6028784792960309,-0.7207119647827948,2.016660937150716,-0.5986599595482066,2.384376017258525,-0.644803489305556,-0.5798747669697014,-0.6225099310257407
APOE,-0.4635336392193434,-0.5838206392323039,-0.6262234764149124,-0.6719415792153478,-0.4516195072596803,-0.6766947311246532,-0.3556552572218059,-0.3692702479785004,1.565112434778143,-0.3759843289062688,2.3590703016539045,-0.5668795105706337,-0.6810823606498281,1.7497157501845562,-0.0148417772321353,1.9105539000352336,-0.6398481815526554,-0.5396175888941686,-0.5674395611796008
CHIT1,-0.3970557995015673,-0.5434030185886589,-0.5343494932288567,-0.5267301574918636,-0.3573350349931447,-0.5706852399113845,-0.5706852399113845,-0.4446619672054523,1.0466816633720266,-0.4885210820580408,2.5840884112094824,-0.4620652705746196,-0.4887154337053482,1.938028709336496,-0.5706852399113845,1.9178095992154451,-0.5356686563675919,-0.5157507775292948,-0.4802959721548578
C1QC,-0.4710659198635155,-0.564226839702883,-0.6075028379786961,-0.6124855005149735,0.2507238110182299,-0.6295282371681152,-0.5880998557117979,-0.3848488768922687,1.1470318409096265,-0.4252984969537129,2.425382130153324,-0.5767431496401854,-0.6299589625653469,1.7939145806943415,-0.4937108302002811,2.0576875303538333,-0.6183163271669609,-0.5364380168236931,-0.5365160419469239
C1QA,-0.4578609155436849,-0.5686809623209479,-0.6089853461525581,-0.6287845823589514,0.0548317871363842,-0.6192224300891079,-0.5849127651285153,-0.407508473524529,1.2097791682864585,-0.4401914551935248,2.104303637649518,-0.5750387354248147,-0.6531629173896993,1.9367259482665304,-0.3422435775227286,2.267515918711215,-0.6209042173832559,-0.5190542456256798,-0.5466058363921082
C1QB,-0.4255212112585446,-0.544914614353696,-0.5804526286697498,-0.5533972357664829,0.0521043874734856,-0.6094482410783975,-0.5905773045545112,-0.4005153673113077,1.0234384773506622,-0.4770388131745399,2.151452778785377,-0.5326100965047067,-0.6224057846493514,1.9950752166633472,-0.5273907976735401,2.2915144231497835,-0.6000240587889187,-0.5066341087287756,-0.5426550209101328
NUPR1,-0.4503628682644766,-0.5984985976174685,-0.6080374473684006,-0.6350290280960224,-0.6077943778690631,1.20318617162946,-0.5275372918125472,-0.4814416084238881,0.8695576466589847,-0.4828422688390636,1.3068014776727854,-0.5780641145473933,-0.6459621314191886,2.219049108779968,-0.570528548425635,2.363803988277006,-0.6168754497201401,-0.563788897963981,-0.5956357626509353
CES1,-0.4651293843086893,-0.522701419396992,-0.5171656338191531,-0.5685565679787119,-0.5544017963528024,1.6642807727336273,-0.5440907761204937,-0.3991247407772224,0.635677053629864,-0.2161804312104837,-0.1954789928196562,-0.4726140041282693,-0.5396997521299907,2.260430265284012,-0.6284546063699449,2.6520186272150137,-0.5740714150679992,-0.4807609200981537,-0.5339762782839547
AC013457.1,-0.3166343456473404,-0.4261907929195526,-0.4254741143050733,-0.4114658052960205,-0.3565096187968924,-0.3449657145820102,-0.431835143528484,-0.2927650240550156,0.5833297980361352,-0.31494333309001,-0.2899316679463758,-0.2633750340506945,-0.3864663630589918,1.2788542811964292,-0.4497876455521306,3.859800194118567,-0.4248980489381871,-0.3901345027243336,-0.1966071188600179
CCL24,-0.3611802511102012,-0.4416326680802246,-0.440465734977421,-0.4409540509889398,0.0399046170581708,-0.4749278346278173,-0.4749278346278173,-0.3472744593698944,1.092740615018834,-0.4083236461357384,-0.0013931598222827,-0.3722194483162059,-0.4287949844260947,1.0466813959503218,-0.4749278346278173,3.763538921444265,-0.4576988415184074,-0.4047650180680904,-0.4133797827746387
CXCL5,-0.3209917599042818,-0.4086626331092127,-0.4214500078856503,-0.4146136342653069,-0.391287205433132,-0.3258973886711774,-0.3939346468457392,-0.1777032492861679,0.25569009911461,-0.4332032660021663,-0.0056452738741411,-0.4554181899678947,-0.4322403943744401,2.031926679790033,-0.4554181899678947,3.533054203550194,-0.420454075353769,-0.3828079263634267,-0.3809431411504361
NMB,-0.4829465381956512,-0.3082196285687614,-0.6156686740856664,-0.1011271860262466,-0.1861678223213535,0.0550243914905267,-0.6081536215035115,-0.2855229458835302,0.7338307545706724,-0.539815791312803,-0.2617023122667594,-0.4279866956777901,-0.3893732107160476,2.320582973392755,-0.8040093228495833,3.1553051270367902,-0.27178749231954,-0.5818860180503954,-0.4003759867131055
HP,-0.3803868206868554,-0.4455411014857712,-0.4895085761744631,-0.469985301739836,-0.4997971598847359,-0.4313282197534214,-0.4218683581357582,-0.1858576433410632,1.1399034805765942,-0.380130616085603,-0.3837567009013417,-0.1600454726979575,-0.49691171973164,2.931338992499097,-0.5236961871393586,2.499751794582429,-0.4736419565088094,-0.3929031551941147,-0.4356352781973898
PPBP,-0.4425681783715913,-0.4554386507992857,-0.4632767492621053,-0.4728501621532879,-0.4099594162162469,-0.1660954601412574,-0.4728501621532879,-0.2053908374634231,0.0597311078202661,-0.2987661219631989,0.3714848638669731,-0.4728501621532879,-0.4123762245999672,2.762135125692091,-0.4728501621532879,2.930088396025348,-0.4324668816678743,-0.4728501621532879,-0.4728501621532879
FABP4,-0.2645958656819799,-0.3863253034286479,-0.4110703810255227,-0.4365364810945946,-0.4648388075773024,-0.3523943942617721,-0.4079436867966269,-0.2753806311710058,0.5236915347264541,-0.515671190896177,-0.2342057046515343,-0.3672041559073764,-0.4913737173178869,2.864745753996486,-0.4328968414805785,2.8285824403598774,-0.4257961320063588,-0.3076015842533535,-0.4431848515321003
RBP4,-0.3294576767539614,-0.4108906310994988,-0.4587611930566217,-0.3267911391797935,-0.4810083782768811,-0.389712264968636,-0.3774255270899246,-0.2590419901613553,0.3444685990202825,-0.4906740857118985,0.1143964044695227,-0.3516481034810366,-0.4807915111229188,2.7800456268262552,-0.5129181297098953,2.9211030514415217,-0.4510166584064728,-0.372200664862798,-0.4676757278758897
EMP1,-0.8228934298732259,-0.7662806545548043,-0.8191170836172607,-0.3287670887434455,2.1096236870322578,1.0152887588575013,-0.7218595622201676,-0.6033264303693959,2.3220361385239148,0.8185612565131406,1.4672052834669476,-0.8230871533091579,-0.7388277426591107,0.0127285823574501,-0.2200441261219319,-0.1507847524036979,-0.3945941388932706,-0.6227695516866028,-0.7330919922991403
F13A1,-0.4660260864152502,-0.4714294140695875,-0.470635596650654,-0.4767987402876122,2.1080439745218227,-0.4025695834936936,-0.4290067193678616,-0.1685017207686523,-0.0970023821410849,0.5867231029226356,3.3948358174959767,-0.4798055236019954,-0.415532103479342,-0.3589623626270621,-0.4798055236019954,-0.457060936947154,-0.4732194436972101,-0.4684040145178758,0.0251572567265973
MMP9,-0.5503801205552274,-0.4806476923841054,-0.5001660672459877,-0.4901384308078874,2.9818652066113027,-0.5503801205552274,-0.3483608077911654,-0.1936825827267193,0.8674501110703968,0.1661639571882606,2.5108662325476736,-0.4669273573578729,-0.5061235888602308,-0.2032215617854208,-0.5503801205552274,-0.4575748500725133,-0.3759004208815177,-0.4781963796938965,-0.374265406144634
SGK1,-0.6943724832598916,-0.7579353934873643,-0.8847448893904986,0.6344386012033315,2.688957169437021,-0.6113128068617235,0.4119523180843421,-0.6119095847105924,1.100079390749332,1.0433805540554226,1.7325532621246893,-0.0902955927140656,-0.8206046153663499,0.0313787696663201,-0.6830147374972254,0.0523725576812545,-0.7934641205540391,-0.8964427701257013,-0.8510156290342629
MS4A6A,-0.7704603966752679,-0.8198030586675842,-0.8210191666782167,0.729481670965151,2.001557226831783,-0.7764359129926692,-0.8152509048887853,-0.6122628563534898,0.8314517320803458,1.1849213539159775,1.9473493145399607,-0.7949176930842705,-0.7876484430418736,0.938191186652934,-0.8525745071995604,0.1879984082116654,-0.8255229829074714,-0.8134444289991689,0.8683894582905393
SELENOP,-0.3835367968400249,-0.3728805388939758,-0.373091154769312,-0.3715003643503392,-0.3567275320246438,1.9658421199630016,-0.344935795680724,-0.3504080937977427,-0.2844189882911453,-0.3735710674754184,3.6256824700364176,-0.3768148592559926,-0.3649478010082647,-0.2655404267330855,0.024410109803665,-0.3083430442529702,-0.3753818612727894,-0.3599879177328106,-0.3538484574238452
FCGBP,-0.4209370872098535,-0.3962064697983237,-0.1532457034328476,-0.4598525732964574,0.4350850924552712,3.5552234689315085,-0.4598525732964574,-0.2984184949250547,-0.4110087456510735,-0.4482520382340202,1.949022129918996,-0.4598525732964574,-0.2698424393081783,-0.2304591742252708,-0.4598525732964574,-0.4034364373108913,-0.4478074121750994,-0.1910526409743917,-0.4292537548749408
STAB1,-0.4634121929228588,-0.4790809638824786,-0.4787691391908205,-0.4650032793751816,0.1129523784640685,-0.4877290551250262,1.0313475429928651,-0.4203344867812816,0.0128707767472682,1.8022626005634408,3.427152573824653,-0.4877290551250262,-0.4285610565822804,-0.3758208224993818,-0.4877290551250262,-0.4544488579432288,-0.4787515490537667,-0.4762986197202326,-0.4029177392657048
LGMN,-0.3804916351711037,-0.6928188490940108,-0.7047594710033946,0.2870914439397882,0.0211880419108074,-0.3960548515012269,-0.688658813047095,-0.4779581455764211,0.3372593917411945,0.3919525420759457,3.497526315338949,-0.4020113984207981,-0.6292929714174369,0.2370121963258307,-0.7253887894830199,0.0633010466502104,-0.5956090971892183,-0.7046065043465927,1.5623195482675911
SLC40A1,-0.4722628915100738,-0.3872649247594615,-0.4877493050730447,-0.2706095222548239,0.0533793039500792,0.6372630637799133,0.0372104624812331,-0.3393496885428592,0.1301556716850978,-0.2602058656264583,4.060891308740509,-0.5083265833839593,-0.4829838152617587,-0.0052818208471075,-0.5083265833839593,-0.3907589087997083,-0.4789798842988598,-0.2843877396022657,-0.0424122772924919
FOLR2,-0.1961417594005035,-0.4062387566072292,-0.4093588558114741,-0.4038509451932257,-0.0638520233275223,-0.3999348039992687,-0.3428516388464354,-0.3685227709301023,0.042550725633767,0.0503598644729305,4.154836154858539,-0.3678945940057108,-0.388058048806337,0.0585521190741345,0.2388709245570482,-0.0646693545738025,-0.4002255148892019,-0.3949644460769106,-0.338606276128695
CCL13,-0.2976119910115876,-0.2987057325678532,-0.3005016057475449,-0.2936833251177298,-0.1340805042814526,-0.3036900897584025,-0.3036900897584025,-0.2422650081090075,0.0330857355811854,-0.1396098743740843,4.221045963424524,-0.2875316683421679,-0.2772426879927547,-0.0050152896077255,-0.3036900897584025,-0.1788007780290066,-0.3036900897584025,-0.2903978599407485,-0.2939250148504364
CTSK,-0.4070320100679141,-0.3812493184696105,-0.4083347457243799,-0.4490830222503729,-0.3135970301317247,-0.0186261508577825,-0.4397046670833963,-0.4165186758441195,0.8012542441545007,-0.1892939127718523,3.8779510418283865,-0.467304618007821,-0.4105444264719368,0.7545019498623652,-0.5307991235598948,0.4475692985349035,-0.4703396882038155,-0.4808673381505728,-0.4979818067849625
RNASE1,-0.4415006772352652,-0.4532876127079743,-0.4581730208887293,-0.4557474005652622,-0.2762943617045154,0.3900146291040499,-0.4344223373064934,-0.4166619436531785,0.6247415361075399,0.2172778509959006,3.9751567969000647,-0.4475227743601678,-0.4422329079172414,0.4391575074632636,-0.4740272387040752,-0.0913640190210044,-0.4460973803902908,-0.4481214029593227,-0.360895243157297
PLTP,-0.3889578897352812,-0.4240838412250866,-0.4152107973140247,-0.4282331881364688,-0.2174816730545155,0.1058254570861686,-0.3982577534779119,-0.376980100247901,0.1901569384229059,-0.1219734798131128,4.112225006706568,-0.2784873112636855,-0.3945432877686892,0.3358802260883368,-0.4513388908097281,0.2078509779815092,-0.4293615624570413,-0.4098235080993658,-0.2172053228826757
CHI3L1,-0.4293425344360844,-0.428769546008478,-0.4820803594967131,-0.5303731120088772,-0.3474387211238923,-0.1750429538104848,-0.552126379992884,-0.3097793276461387,1.8888798714507329,0.8342409839540308,3.431445039010565,-0.552126379992884,-0.4641006328624562,-0.0715979292641924,-0.552126379992884,0.1556268157121461,-0.5115991774280957,-0.4895309750961825,-0.4141583009672273
SPP1,-0.4944353899555444,-0.5191320186445655,-0.5128943602786866,-0.5274412508885313,1.2706244196052516,-0.4098413720023376,-0.4098731851780804,-0.5099493158941092,1.7048164366868608,0.041380010817468,3.367568652040812,-0.5650802392933748,-0.4168207282863872,0.0926036548844187,-0.5650802392933748,-0.1698323497020385,-0.5095583582385037,-0.4208921756774994,-0.4461621907017766
NCF1,1.1384649823357138,-0.4619420098905166,-0.6247882509680381,-0.3145171232426352,-0.2588800403526514,-1.41805718350677,-0.5364037271507724,-0.4307611234883016,0.891696458112356,2.0084796541139758,0.7453481069481488,0.7110742823595188,-1.1112856284479713,0.4510539578271885,-1.3584803131386038,0.5119016820452708,-0.9018897070572915,-0.8880967462676546,1.847082729769037
C15orf48,-0.6850186916240353,-0.7291876548502382,-0.7290986746211234,0.618302310046722,2.2082715214683355,-0.3518973994260866,-0.7229603034344964,0.5647494505069446,0.8169218788056972,2.694862847639729,0.6880487583139004,-0.7074785891592382,-0.7101316111447387,-0.4018510636490249,-0.5029729313228261,0.0094089210703276,-0.7295263779072881,-0.7074753824384439,-0.622967008274117
FOS,-0.7141280442291598,-0.9207539145458532,-0.955989108369928,0.3099157553063619,1.525929695706295,-0.3568586569509273,-0.3728104280204232,-0.377399346955667,1.338427394495057,2.3123082313509022,1.3609605883629798,-0.8909403249358052,-0.9175557188217908,0.7889925269966428,-0.9565611319495398,0.670181501196438,-0.9149293963890958,-0.3810091645001501,-0.5477804577463382
TIMP1,-0.9515053569520724,-0.4410914874271435,-0.935525115505206,0.707939501600236,1.2524436402367716,-0.3881571197189499,0.6264884219913426,-0.5963586573651399,1.1497743300929204,2.7610957688889965,1.0115708869139473,-0.8888154863530432,-0.9454050154288738,0.1564069775982305,-0.3959332029891402,0.3328435089270852,-0.6641439193958883,-0.7148101322903829,-1.076817542823688
CEBPD,-1.0822188217889812,-0.3509975520427188,-0.1503159067437253,-0.059306598558263,1.2091180276218156,0.7503603888310403,-1.0728929812094166,-0.2451246794545486,0.1672406631311961,2.7165423683499483,1.6114661334665683,-1.06887535519716,-0.1059775818780913,0.2612183061222655,-1.040147025058883,-0.2837720101323057,-0.892862803441297,0.5900423299068375,-0.9534969019242828
IFITM3,-0.7825639357202274,-0.5981098919774613,-0.5777234335154665,-0.7881518326195477,1.1768572786923217,0.3311709481639231,-0.0455443719190908,-0.4257192574234765,0.4057847895275847,3.061861845565174,1.7772501639565066,-1.187922631463339,-0.356650080550483,-0.0417719119400986,-0.5484111579226247,-0.1291603896553812,-0.7576188899684108,0.003255614400377,-0.5168328556302773
CD14,-0.613347042047875,-0.6665023754553228,-0.6749432931995749,-0.6607490814209672,0.4801580229530935,-0.5797236446067188,-0.6417835455011511,-0.5404903268829383,1.2782785137602262,2.271528274840852,2.43370817300055,-0.6466045078155717,-0.6513492758915146,0.8498016555482245,-0.3570076404608071,0.6254815041268093,-0.6704063335334517,-0.6596893426737679,-0.5763597347400947
SDS,-0.5267177142942621,-0.5467636515217775,-0.5498160993793725,-0.3838896757781106,2.01400621889889,-0.4236881764450824,-0.4572624757425547,-0.2205944584097944,0.6600072135944574,2.4232912928265438,2.222219951744742,-0.5692827902194336,-0.542279734975095,-0.4604644313611689,-0.5692827902194336,-0.4807375063195665,-0.5604745932118244,-0.5692827902194336,-0.4589877889677226
CCL2,-0.5106222018094533,-0.5229899380505042,-0.5223781742275215,-0.5179631222501612,0.4121870327977994,-0.3867169805339834,-0.4451445144239541,-0.4850766923049341,0.7072955282826926,3.204533312168617,2.2409414241597774,-0.5198844402503653,-0.4528015675258747,-0.3226349597592413,-0.1281115052814559,-0.3815789811061736,-0.5092045779624059,-0.5012825807541845,-0.3585670611686734
HAMP,-0.5658108220714995,-0.5456492154234877,-0.563397728230424,-0.5167570135499104,0.6621781029886484,-0.5836578251995984,-0.1209823299251768,-0.4727279651554616,0.7659257810115732,2.4916089870315856,2.844088415640828,-0.5836578251995984,-0.5624565521934695,-0.2631027060472041,-0.5836578251995984,-0.4111332756159647,-0.5836578251995984,-0.5480773109184542,0.1409249332568111
IL1R2,-0.4149496939924637,-0.4091018197903386,-0.4154908030430577,-0.2786106233232985,0.3934102377290169,-0.4208751877808964,-0.4208751877808964,-0.2941141930352036,-0.1577848474817724,3.7034033930974615,-0.3006419796084972,-0.4208751877808964,-0.2365037017179105,-0.3960781389578631,-0.4208751877808964,-0.4039238655241192,1.7092170646210432,-0.4156670135108944,-0.3996632643385167
GBP1,-0.4012404221004699,-0.3206880228445645,-0.2975818391638803,-0.8812925631342925,-0.1214197829906657,-0.400554032649205,-0.8636002932092997,0.6714283903878143,-0.0173684855177966,3.412155691852988,0.9380234308386706,-0.8585423063539487,1.171489352699388,-0.0722578299426468,-0.9440432622935476,0.3690812989948896,-0.122185487628636,-0.5223306567383682,-0.7390731802064296
IFIT2,-0.2155950026091628,-0.6405944608547132,-0.661318674282615,-0.6452723650939579,-0.1534056075447557,-0.4476645922933157,-0.5642756332775845,-0.6790276950855174,0.4737904106269273,3.3527638442544263,1.064427802634113,-0.7740910289869817,-0.4308049701735647,0.7315967937685955,-0.8382224996885047,0.9685071029413618,-0.66815697200478,-0.5161119551984354,0.6434555028684635
