,param,value,Models,var,sim_scenario
29,10.0,0.6316606060606059,FACTM,muFA_corr_spearmann,scaling_topics_param
28,10.0,0.6078545454545453,FACTM,muFA_corr_spearmann,scaling_topics_param
27,10.0,0.3758545454545454,FACTM,muFA_corr_spearmann,scaling_topics_param
26,10.0,0.5644121212121211,FACTM,muFA_corr_spearmann,scaling_topics_param
25,10.0,0.5242181818181817,FACTM,muFA_corr_spearmann,scaling_topics_param
24,10.0,0.5751272727272726,FACTM,muFA_corr_spearmann,scaling_topics_param
23,10.0,0.6768484848484848,FACTM,muFA_corr_spearmann,scaling_topics_param
22,10.0,0.4347151515151515,FACTM,muFA_corr_spearmann,scaling_topics_param
21,10.0,0.6454303030303029,FACTM,muFA_corr_spearmann,scaling_topics_param
20,10.0,0.6779151515151515,FACTM,muFA_corr_spearmann,scaling_topics_param
19,5.0,0.6704484848484847,FACTM,muFA_corr_spearmann,scaling_topics_param
18,5.0,0.668460606060606,FACTM,muFA_corr_spearmann,scaling_topics_param
17,5.0,0.5157333333333334,FACTM,muFA_corr_spearmann,scaling_topics_param
16,5.0,0.657260606060606,FACTM,muFA_corr_spearmann,scaling_topics_param
15,5.0,0.602230303030303,FACTM,muFA_corr_spearmann,scaling_topics_param
14,5.0,0.5978666666666667,FACTM,muFA_corr_spearmann,scaling_topics_param
13,5.0,0.7036121212121211,FACTM,muFA_corr_spearmann,scaling_topics_param
12,5.0,0.5523878787878787,FACTM,muFA_corr_spearmann,scaling_topics_param
11,5.0,0.6900363636363636,FACTM,muFA_corr_spearmann,scaling_topics_param
10,5.0,0.6734060606060606,FACTM,muFA_corr_spearmann,scaling_topics_param
9,1.0,0.7095272727272727,FACTM,muFA_corr_spearmann,scaling_topics_param
8,1.0,0.680921212121212,FACTM,muFA_corr_spearmann,scaling_topics_param
7,1.0,0.5508363636363636,FACTM,muFA_corr_spearmann,scaling_topics_param
6,1.0,0.7025454545454544,FACTM,muFA_corr_spearmann,scaling_topics_param
5,1.0,0.6684121212121211,FACTM,muFA_corr_spearmann,scaling_topics_param
4,1.0,0.6963393939393938,FACTM,muFA_corr_spearmann,scaling_topics_param
3,1.0,0.7048242424242424,FACTM,muFA_corr_spearmann,scaling_topics_param
2,1.0,0.5898666666666667,FACTM,muFA_corr_spearmann,scaling_topics_param
1,1.0,0.708121212121212,FACTM,muFA_corr_spearmann,scaling_topics_param
0,1.0,0.7356121212121212,FACTM,muFA_corr_spearmann,scaling_topics_param
29,10.0,0.649939393939394,FACTM(R),muFA_corr_spearmann,scaling_topics_param
28,10.0,0.6160969696969696,FACTM(R),muFA_corr_spearmann,scaling_topics_param
27,10.0,0.46797575757575754,FACTM(R),muFA_corr_spearmann,scaling_topics_param
26,10.0,0.6161939393939392,FACTM(R),muFA_corr_spearmann,scaling_topics_param
25,10.0,0.5539878787878787,FACTM(R),muFA_corr_spearmann,scaling_topics_param
24,10.0,0.5630060606060606,FACTM(R),muFA_corr_spearmann,scaling_topics_param
23,10.0,0.6768484848484848,FACTM(R),muFA_corr_spearmann,scaling_topics_param
22,10.0,0.5352727272727272,FACTM(R),muFA_corr_spearmann,scaling_topics_param
21,10.0,0.6465939393939393,FACTM(R),muFA_corr_spearmann,scaling_topics_param
20,10.0,0.6941090909090908,FACTM(R),muFA_corr_spearmann,scaling_topics_param
19,5.0,0.6690424242424242,FACTM(R),muFA_corr_spearmann,scaling_topics_param
18,5.0,0.668460606060606,FACTM(R),muFA_corr_spearmann,scaling_topics_param
17,5.0,0.5127757575757576,FACTM(R),muFA_corr_spearmann,scaling_topics_param
16,5.0,0.6523151515151514,FACTM(R),muFA_corr_spearmann,scaling_topics_param
15,5.0,0.6190545454545454,FACTM(R),muFA_corr_spearmann,scaling_topics_param
14,5.0,0.5978666666666667,FACTM(R),muFA_corr_spearmann,scaling_topics_param
13,5.0,0.7036121212121211,FACTM(R),muFA_corr_spearmann,scaling_topics_param
12,5.0,0.5523878787878787,FACTM(R),muFA_corr_spearmann,scaling_topics_param
11,5.0,0.6815515151515151,FACTM(R),muFA_corr_spearmann,scaling_topics_param
10,5.0,0.7040484848484848,FACTM(R),muFA_corr_spearmann,scaling_topics_param
9,1.0,0.7095272727272727,FACTM(R),muFA_corr_spearmann,scaling_topics_param
8,1.0,0.680921212121212,FACTM(R),muFA_corr_spearmann,scaling_topics_param
7,1.0,0.5508363636363636,FACTM(R),muFA_corr_spearmann,scaling_topics_param
6,1.0,0.7025454545454544,FACTM(R),muFA_corr_spearmann,scaling_topics_param
5,1.0,0.6684121212121211,FACTM(R),muFA_corr_spearmann,scaling_topics_param
4,1.0,0.6963393939393938,FACTM(R),muFA_corr_spearmann,scaling_topics_param
3,1.0,0.7048242424242424,FACTM(R),muFA_corr_spearmann,scaling_topics_param
2,1.0,0.5898666666666667,FACTM(R),muFA_corr_spearmann,scaling_topics_param
1,1.0,0.708121212121212,FACTM(R),muFA_corr_spearmann,scaling_topics_param
0,1.0,0.7356121212121212,FACTM(R),muFA_corr_spearmann,scaling_topics_param
29,10.0,0.23835151515151512,CTM,muFA_corr_spearmann,scaling_topics_param
28,10.0,0.3475878787878788,CTM,muFA_corr_spearmann,scaling_topics_param
27,10.0,0.22797575757575755,CTM,muFA_corr_spearmann,scaling_topics_param
26,10.0,0.2670545454545454,CTM,muFA_corr_spearmann,scaling_topics_param
25,10.0,0.23044848484848485,CTM,muFA_corr_spearmann,scaling_topics_param
24,10.0,0.25275151515151517,CTM,muFA_corr_spearmann,scaling_topics_param
23,10.0,0.32484848484848483,CTM,muFA_corr_spearmann,scaling_topics_param
22,10.0,0.3364363636363636,CTM,muFA_corr_spearmann,scaling_topics_param
21,10.0,0.26676363636363637,CTM,muFA_corr_spearmann,scaling_topics_param
20,10.0,0.2584242424242424,CTM,muFA_corr_spearmann,scaling_topics_param
19,5.0,0.4950787878787878,CTM,muFA_corr_spearmann,scaling_topics_param
18,5.0,0.47359999999999997,CTM,muFA_corr_spearmann,scaling_topics_param
17,5.0,0.36615757575757574,CTM,muFA_corr_spearmann,scaling_topics_param
16,5.0,0.3947151515151514,CTM,muFA_corr_spearmann,scaling_topics_param
15,5.0,0.416,CTM,muFA_corr_spearmann,scaling_topics_param
14,5.0,0.3882666666666666,CTM,muFA_corr_spearmann,scaling_topics_param
13,5.0,0.4542545454545454,CTM,muFA_corr_spearmann,scaling_topics_param
12,5.0,0.3586424242424242,CTM,muFA_corr_spearmann,scaling_topics_param
11,5.0,0.5014787878787877,CTM,muFA_corr_spearmann,scaling_topics_param
10,5.0,0.46724848484848475,CTM,muFA_corr_spearmann,scaling_topics_param
9,1.0,0.5935999999999999,CTM,muFA_corr_spearmann,scaling_topics_param
8,1.0,0.5502545454545454,CTM,muFA_corr_spearmann,scaling_topics_param
7,1.0,0.44979393939393936,CTM,muFA_corr_spearmann,scaling_topics_param
6,1.0,0.5179151515151513,CTM,muFA_corr_spearmann,scaling_topics_param
5,1.0,0.5074424242424241,CTM,muFA_corr_spearmann,scaling_topics_param
4,1.0,0.5001212121212121,CTM,muFA_corr_spearmann,scaling_topics_param
3,1.0,0.5425939393939393,CTM,muFA_corr_spearmann,scaling_topics_param
2,1.0,0.49023030303030296,CTM,muFA_corr_spearmann,scaling_topics_param
1,1.0,0.5858424242424242,CTM,muFA_corr_spearmann,scaling_topics_param
0,1.0,0.6302545454545454,CTM,muFA_corr_spearmann,scaling_topics_param
29,10.0,0.3480242424242424,FACTM,eta_corr_spearmann,scaling_topics_param
28,10.0,0.3272242424242424,FACTM,eta_corr_spearmann,scaling_topics_param
27,10.0,0.37163636363636354,FACTM,eta_corr_spearmann,scaling_topics_param
26,10.0,0.3379393939393939,FACTM,eta_corr_spearmann,scaling_topics_param
25,10.0,0.41338181818181813,FACTM,eta_corr_spearmann,scaling_topics_param
24,10.0,0.42448484848484846,FACTM,eta_corr_spearmann,scaling_topics_param
23,10.0,0.4539151515151515,FACTM,eta_corr_spearmann,scaling_topics_param
22,10.0,0.4049939393939394,FACTM,eta_corr_spearmann,scaling_topics_param
21,10.0,0.39534545454545444,FACTM,eta_corr_spearmann,scaling_topics_param
20,10.0,0.48470303030303025,FACTM,eta_corr_spearmann,scaling_topics_param
19,5.0,0.5882181818181818,FACTM,eta_corr_spearmann,scaling_topics_param
18,5.0,0.6309818181818182,FACTM,eta_corr_spearmann,scaling_topics_param
17,5.0,0.6603151515151514,FACTM,eta_corr_spearmann,scaling_topics_param
16,5.0,0.6585212121212121,FACTM,eta_corr_spearmann,scaling_topics_param
15,5.0,0.6371878787878787,FACTM,eta_corr_spearmann,scaling_topics_param
14,5.0,0.617260606060606,FACTM,eta_corr_spearmann,scaling_topics_param
