,param,value,Models,var,sim_scenario
49,2.0,0.7235393939393939,FACTM,muFA_corr_spearmann,scaling_weights
48,2.0,0.6535272727272726,FACTM,muFA_corr_spearmann,scaling_weights
47,2.0,0.5733818181818181,FACTM,muFA_corr_spearmann,scaling_weights
46,2.0,0.6646787878787879,FACTM,muFA_corr_spearmann,scaling_weights
45,2.0,0.6315151515151515,FACTM,muFA_corr_spearmann,scaling_weights
44,2.0,0.6891151515151515,FACTM,muFA_corr_spearmann,scaling_weights
43,2.0,0.7214060606060605,FACTM,muFA_corr_spearmann,scaling_weights
42,2.0,0.6659393939393938,FACTM,muFA_corr_spearmann,scaling_weights
41,2.0,0.6464484848484848,FACTM,muFA_corr_spearmann,scaling_weights
40,2.0,0.7024484848484847,FACTM,muFA_corr_spearmann,scaling_weights
39,1.5,0.7366787878787877,FACTM,muFA_corr_spearmann,scaling_weights
38,1.5,0.7223757575757574,FACTM,muFA_corr_spearmann,scaling_weights
37,1.5,0.5813333333333333,FACTM,muFA_corr_spearmann,scaling_weights
36,1.5,0.7362424242424243,FACTM,muFA_corr_spearmann,scaling_weights
35,1.5,0.6872727272727271,FACTM,muFA_corr_spearmann,scaling_weights
34,1.5,0.7082181818181817,FACTM,muFA_corr_spearmann,scaling_weights
33,1.5,0.7265454545454545,FACTM,muFA_corr_spearmann,scaling_weights
32,1.5,0.5423030303030303,FACTM,muFA_corr_spearmann,scaling_weights
31,1.5,0.7165575757575757,FACTM,muFA_corr_spearmann,scaling_weights
30,1.5,0.7103515151515151,FACTM,muFA_corr_spearmann,scaling_weights
29,1.0,0.7095272727272727,FACTM,muFA_corr_spearmann,scaling_weights
28,1.0,0.680921212121212,FACTM,muFA_corr_spearmann,scaling_weights
27,1.0,0.5508363636363636,FACTM,muFA_corr_spearmann,scaling_weights
26,1.0,0.7025454545454544,FACTM,muFA_corr_spearmann,scaling_weights
25,1.0,0.6684121212121211,FACTM,muFA_corr_spearmann,scaling_weights
24,1.0,0.6963393939393938,FACTM,muFA_corr_spearmann,scaling_weights
23,1.0,0.7048242424242424,FACTM,muFA_corr_spearmann,scaling_weights
22,1.0,0.5898666666666667,FACTM,muFA_corr_spearmann,scaling_weights
21,1.0,0.708121212121212,FACTM,muFA_corr_spearmann,scaling_weights
20,1.0,0.7356121212121212,FACTM,muFA_corr_spearmann,scaling_weights
19,0.5,0.6205090909090909,FACTM,muFA_corr_spearmann,scaling_weights
18,0.5,0.5012363636363637,FACTM,muFA_corr_spearmann,scaling_weights
17,0.5,0.32276363636363636,FACTM,muFA_corr_spearmann,scaling_weights
16,0.5,0.5411393939393938,FACTM,muFA_corr_spearmann,scaling_weights
15,0.5,0.4963878787878787,FACTM,muFA_corr_spearmann,scaling_weights
14,0.5,0.4619151515151515,FACTM,muFA_corr_spearmann,scaling_weights
13,0.5,0.5454545454545454,FACTM,muFA_corr_spearmann,scaling_weights
12,0.5,0.38186666666666663,FACTM,muFA_corr_spearmann,scaling_weights
11,0.5,0.5768727272727272,FACTM,muFA_corr_spearmann,scaling_weights
10,0.5,0.6264727272727273,FACTM,muFA_corr_spearmann,scaling_weights
9,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
8,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
7,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
6,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
5,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
4,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
3,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
2,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
1,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
0,0.0,0.0,FACTM,muFA_corr_spearmann,scaling_weights
49,2.0,0.7261090909090909,FACTM(R),muFA_corr_spearmann,scaling_weights
48,2.0,0.6551757575757575,FACTM(R),muFA_corr_spearmann,scaling_weights
47,2.0,0.5733818181818181,FACTM(R),muFA_corr_spearmann,scaling_weights
46,2.0,0.7358060606060606,FACTM(R),muFA_corr_spearmann,scaling_weights
45,2.0,0.6341818181818182,FACTM(R),muFA_corr_spearmann,scaling_weights
44,2.0,0.6891151515151515,FACTM(R),muFA_corr_spearmann,scaling_weights
43,2.0,0.7202909090909091,FACTM(R),muFA_corr_spearmann,scaling_weights
42,2.0,0.6659393939393938,FACTM(R),muFA_corr_spearmann,scaling_weights
41,2.0,0.6475151515151514,FACTM(R),muFA_corr_spearmann,scaling_weights
40,2.0,0.702981818181818,FACTM(R),muFA_corr_spearmann,scaling_weights
39,1.5,0.7231999999999998,FACTM(R),muFA_corr_spearmann,scaling_weights
38,1.5,0.7201454545454544,FACTM(R),muFA_corr_spearmann,scaling_weights
37,1.5,0.5837090909090908,FACTM(R),muFA_corr_spearmann,scaling_weights
36,1.5,0.7366787878787878,FACTM(R),muFA_corr_spearmann,scaling_weights
35,1.5,0.6872727272727271,FACTM(R),muFA_corr_spearmann,scaling_weights
34,1.5,0.7082181818181817,FACTM(R),muFA_corr_spearmann,scaling_weights
33,1.5,0.7265454545454545,FACTM(R),muFA_corr_spearmann,scaling_weights
32,1.5,0.6242424242424242,FACTM(R),muFA_corr_spearmann,scaling_weights
31,1.5,0.7169939393939393,FACTM(R),muFA_corr_spearmann,scaling_weights
30,1.5,0.7107393939393938,FACTM(R),muFA_corr_spearmann,scaling_weights
29,1.0,0.7095272727272727,FACTM(R),muFA_corr_spearmann,scaling_weights
28,1.0,0.680921212121212,FACTM(R),muFA_corr_spearmann,scaling_weights
27,1.0,0.5508363636363636,FACTM(R),muFA_corr_spearmann,scaling_weights
26,1.0,0.7025454545454544,FACTM(R),muFA_corr_spearmann,scaling_weights
25,1.0,0.6684121212121211,FACTM(R),muFA_corr_spearmann,scaling_weights
24,1.0,0.6963393939393938,FACTM(R),muFA_corr_spearmann,scaling_weights
23,1.0,0.7048242424242424,FACTM(R),muFA_corr_spearmann,scaling_weights
22,1.0,0.5898666666666667,FACTM(R),muFA_corr_spearmann,scaling_weights
21,1.0,0.708121212121212,FACTM(R),muFA_corr_spearmann,scaling_weights
20,1.0,0.7356121212121212,FACTM(R),muFA_corr_spearmann,scaling_weights
19,0.5,0.6205090909090909,FACTM(R),muFA_corr_spearmann,scaling_weights
18,0.5,0.5007515151515151,FACTM(R),muFA_corr_spearmann,scaling_weights
17,0.5,0.32276363636363636,FACTM(R),muFA_corr_spearmann,scaling_weights
16,0.5,0.5411393939393938,FACTM(R),muFA_corr_spearmann,scaling_weights
15,0.5,0.4963878787878787,FACTM(R),muFA_corr_spearmann,scaling_weights
14,0.5,0.4619151515151515,FACTM(R),muFA_corr_spearmann,scaling_weights
13,0.5,0.5454545454545454,FACTM(R),muFA_corr_spearmann,scaling_weights
12,0.5,0.38249696969696967,FACTM(R),muFA_corr_spearmann,scaling_weights
11,0.5,0.5768727272727272,FACTM(R),muFA_corr_spearmann,scaling_weights
10,0.5,0.6218181818181817,FACTM(R),muFA_corr_spearmann,scaling_weights
9,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
8,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
7,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
6,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
5,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
4,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
3,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
2,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
1,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
0,0.0,0.0,FACTM(R),muFA_corr_spearmann,scaling_weights
49,2.0,0.7221333333333332,CTM,muFA_corr_spearmann,scaling_weights
48,2.0,0.6817454545454545,CTM,muFA_corr_spearmann,scaling_weights
47,2.0,0.6423757575757575,CTM,muFA_corr_spearmann,scaling_weights
46,2.0,0.6904242424242423,CTM,muFA_corr_spearmann,scaling_weights
45,2.0,0.7024969696969697,CTM,muFA_corr_spearmann,scaling_weights
44,2.0,0.6506181818181818,CTM,muFA_corr_spearmann,scaling_weights
43,2.0,0.6730666666666666,CTM,muFA_corr_spearmann,scaling_weights
42,2.0,0.6463030303030303,CTM,muFA_corr_spearmann,scaling_weights
41,2.0,0.7098666666666665,CTM,muFA_corr_spearmann,scaling_weights
40,2.0,0.746812121212121,CTM,muFA_corr_spearmann,scaling_weights
39,1.5,0.6958060606060605,CTM,muFA_corr_spearmann,scaling_weights
38,1.5,0.6395636363636362,CTM,muFA_corr_spearmann,scaling_weights
37,1.5,0.5759999999999998,CTM,muFA_corr_spearmann,scaling_weights
36,1.5,0.6492121212121211,CTM,muFA_corr_spearmann,scaling_weights
35,1.5,0.6434424242424241,CTM,muFA_corr_spearmann,scaling_weights
34,1.5,0.6140121212121212,CTM,muFA_corr_spearmann,scaling_weights
33,1.5,0.6368484848484848,CTM,muFA_corr_spearmann,scaling_weights
32,1.5,0.5872969696969697,CTM,muFA_corr_spearmann,scaling_weights
31,1.5,0.663030303030303,CTM,muFA_corr_spearmann,scaling_weights
30,1.5,0.7294545454545454,CTM,muFA_corr_spearmann,scaling_weights
29,1.0,0.5935999999999999,CTM,muFA_corr_spearmann,scaling_weights
28,1.0,0.5502545454545454,CTM,muFA_corr_spearmann,scaling_weights
27,1.0,0.44979393939393936,CTM,muFA_corr_spearmann,scaling_weights
26,1.0,0.5179151515151513,CTM,muFA_corr_spearmann,scaling_weights
25,1.0,0.5074424242424241,CTM,muFA_corr_spearmann,scaling_weights
24,1.0,0.5001212121212121,CTM,muFA_corr_spearmann,scaling_weights
23,1.0,0.5425939393939393,CTM,muFA_corr_spearmann,scaling_weights
22,1.0,0.49023030303030296,CTM,muFA_corr_spearmann,scaling_weights
21,1.0,0.5858424242424242,CTM,muFA_corr_spearmann,scaling_weights
20,1.0,0.6302545454545454,CTM,muFA_corr_spearmann,scaling_weights
19,0.5,0.3701818181818181,CTM,muFA_corr_spearmann,scaling_weights
18,0.5,0.30327272727272725,CTM,muFA_corr_spearmann,scaling_weights
17,0.5,0.26409696969696966,CTM,muFA_corr_spearmann,scaling_weights
16,0.5,0.30773333333333336,CTM,muFA_corr_spearmann,scaling_weights
15,0.5,0.2818424242424242,CTM,muFA_corr_spearmann,scaling_weights
14,0.5,0.3106909090909091,CTM,muFA_corr_spearmann,scaling_weights
13,0.5,0.3000727272727272,CTM,muFA_corr_spearmann,scaling_weights
12,0.5,0.27393939393939387,CTM,muFA_corr_spearmann,scaling_weights
11,0.5,0.36344242424242423,CTM,muFA_corr_spearmann,scaling_weights
10,0.5,0.4018424242424242,CTM,muFA_corr_spearmann,scaling_weights
