,param,value,Models,var,sim_scenario
29,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
28,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
27,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
26,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
25,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
24,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
23,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
22,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
21,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
20,1.0,0.0,FACTM,mu0_corr,scaling_Sigma0
19,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
18,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
17,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
16,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
15,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
14,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
13,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
12,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
11,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
10,0.6,0.0,FACTM,mu0_corr,scaling_Sigma0
9,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
8,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
7,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
6,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
5,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
4,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
3,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
2,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
1,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
0,0.2,0.0,FACTM,mu0_corr,scaling_Sigma0
29,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
28,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
27,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
26,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
25,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
24,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
23,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
22,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
21,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
20,1.0,0.0,FACTM(R),mu0_corr,scaling_Sigma0
19,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
18,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
17,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
16,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
15,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
14,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
13,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
12,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
11,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
10,0.6,0.0,FACTM(R),mu0_corr,scaling_Sigma0
9,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
8,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
7,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
6,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
5,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
4,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
3,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
2,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
1,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
0,0.2,0.0,FACTM(R),mu0_corr,scaling_Sigma0
29,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
28,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
27,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
26,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
25,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
24,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
23,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
22,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
21,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
20,1.0,0.0,CTM,mu0_corr,scaling_Sigma0
19,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
18,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
17,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
16,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
15,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
14,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
13,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
12,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
11,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
10,0.6,0.0,CTM,mu0_corr,scaling_Sigma0
9,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
8,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
7,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
6,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
5,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
4,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
3,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
2,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
1,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
0,0.2,0.0,CTM,mu0_corr,scaling_Sigma0
29,1.0,0.6896447708795737,FACTM,Sigma0_Frobenius,scaling_Sigma0
28,1.0,0.7605965953233328,FACTM,Sigma0_Frobenius,scaling_Sigma0
27,1.0,0.675869716065042,FACTM,Sigma0_Frobenius,scaling_Sigma0
26,1.0,0.7297931824521591,FACTM,Sigma0_Frobenius,scaling_Sigma0
25,1.0,0.7466374575248622,FACTM,Sigma0_Frobenius,scaling_Sigma0
24,1.0,0.7182747915450206,FACTM,Sigma0_Frobenius,scaling_Sigma0
23,1.0,0.6685013439511238,FACTM,Sigma0_Frobenius,scaling_Sigma0
22,1.0,0.7531128470329592,FACTM,Sigma0_Frobenius,scaling_Sigma0
21,1.0,0.7523219467970564,FACTM,Sigma0_Frobenius,scaling_Sigma0
20,1.0,0.7303712796682825,FACTM,Sigma0_Frobenius,scaling_Sigma0
19,0.6,0.6760864343014361,FACTM,Sigma0_Frobenius,scaling_Sigma0
18,0.6,0.7319266344098908,FACTM,Sigma0_Frobenius,scaling_Sigma0
17,0.6,0.8528996593076521,FACTM,Sigma0_Frobenius,scaling_Sigma0
16,0.6,0.6934589624906624,FACTM,Sigma0_Frobenius,scaling_Sigma0
15,0.6,0.7427678813301533,FACTM,Sigma0_Frobenius,scaling_Sigma0
14,0.6,0.7134377357926364,FACTM,Sigma0_Frobenius,scaling_Sigma0
13,0.6,0.7075477628453731,FACTM,Sigma0_Frobenius,scaling_Sigma0
12,0.6,0.6329653427667161,FACTM,Sigma0_Frobenius,scaling_Sigma0
11,0.6,0.7024382671082272,FACTM,Sigma0_Frobenius,scaling_Sigma0
10,0.6,0.662045723421699,FACTM,Sigma0_Frobenius,scaling_Sigma0
9,0.2,0.9155655538360132,FACTM,Sigma0_Frobenius,scaling_Sigma0
8,0.2,1.0635219023923552,FACTM,Sigma0_Frobenius,scaling_Sigma0
7,0.2,1.1354371423012988,FACTM,Sigma0_Frobenius,scaling_Sigma0
6,0.2,0.8683487730823883,FACTM,Sigma0_Frobenius,scaling_Sigma0
5,0.2,0.9245012748172561,FACTM,Sigma0_Frobenius,scaling_Sigma0
4,0.2,0.874669771154045,FACTM,Sigma0_Frobenius,scaling_Sigma0
3,0.2,0.8762783267748349,FACTM,Sigma0_Frobenius,scaling_Sigma0
2,0.2,0.8994062198408698,FACTM,Sigma0_Frobenius,scaling_Sigma0
1,0.2,0.8962106656907851,FACTM,Sigma0_Frobenius,scaling_Sigma0
0,0.2,0.8709532670919524,FACTM,Sigma0_Frobenius,scaling_Sigma0
29,1.0,0.6896447708795737,FACTM(R),Sigma0_Frobenius,scaling_Sigma0
28,1.0,0.7605965953233328,FACTM(R),Sigma0_Frobenius,scaling_Sigma0
27,1.0,0.675869716065042,FACTM(R),Sigma0_Frobenius,scaling_Sigma0
26,1.0,0.7297931824521591,FACTM(R),Sigma0_Frobenius,scaling_Sigma0
25,1.0,0.7466374575248622,FACTM(R),Sigma0_Frobenius,scaling_Sigma0
