,param,value,Models,var,sim_scenario
49,1.0,0.9984993881412274,muVI_prior,z_corr_rotated,scaling_sparsity
48,1.0,0.9972796241729007,muVI_prior,z_corr_rotated,scaling_sparsity
47,1.0,0.9869543104881766,muVI_prior,z_corr_rotated,scaling_sparsity
46,1.0,0.9937321085254458,muVI_prior,z_corr_rotated,scaling_sparsity
45,1.0,0.9873527580454977,muVI_prior,z_corr_rotated,scaling_sparsity
44,1.0,0.9938934950950437,muVI_prior,z_corr_rotated,scaling_sparsity
43,1.0,0.988341097656232,muVI_prior,z_corr_rotated,scaling_sparsity
42,1.0,0.9884529997892463,muVI_prior,z_corr_rotated,scaling_sparsity
41,1.0,0.9940436480502427,muVI_prior,z_corr_rotated,scaling_sparsity
40,1.0,0.9828745654511188,muVI_prior,z_corr_rotated,scaling_sparsity
39,0.75,0.9980505381865257,muVI_prior,z_corr_rotated,scaling_sparsity
38,0.75,0.9952801888571404,muVI_prior,z_corr_rotated,scaling_sparsity
37,0.75,0.9899382007720405,muVI_prior,z_corr_rotated,scaling_sparsity
36,0.75,0.9753085905266283,muVI_prior,z_corr_rotated,scaling_sparsity
35,0.75,0.9902935420810568,muVI_prior,z_corr_rotated,scaling_sparsity
34,0.75,0.9954216698355959,muVI_prior,z_corr_rotated,scaling_sparsity
33,0.75,0.9978338567636931,muVI_prior,z_corr_rotated,scaling_sparsity
32,0.75,0.9975948053942659,muVI_prior,z_corr_rotated,scaling_sparsity
31,0.75,0.9984891547990685,muVI_prior,z_corr_rotated,scaling_sparsity
30,0.75,0.9770384729524515,muVI_prior,z_corr_rotated,scaling_sparsity
29,0.5,0.9981969836801327,muVI_prior,z_corr_rotated,scaling_sparsity
28,0.5,0.9984477962960554,muVI_prior,z_corr_rotated,scaling_sparsity
27,0.5,0.9973837287066993,muVI_prior,z_corr_rotated,scaling_sparsity
26,0.5,0.9938970728517175,muVI_prior,z_corr_rotated,scaling_sparsity
25,0.5,0.9983108939602939,muVI_prior,z_corr_rotated,scaling_sparsity
24,0.5,0.9910316392851068,muVI_prior,z_corr_rotated,scaling_sparsity
23,0.5,0.9935535950653998,muVI_prior,z_corr_rotated,scaling_sparsity
22,0.5,0.9952891958252119,muVI_prior,z_corr_rotated,scaling_sparsity
21,0.5,0.9984086454709009,muVI_prior,z_corr_rotated,scaling_sparsity
20,0.5,0.9957802038219483,muVI_prior,z_corr_rotated,scaling_sparsity
19,0.25,0.9981834527673689,muVI_prior,z_corr_rotated,scaling_sparsity
18,0.25,0.9980338146646582,muVI_prior,z_corr_rotated,scaling_sparsity
17,0.25,0.9952329872925567,muVI_prior,z_corr_rotated,scaling_sparsity
16,0.25,0.9963089123019211,muVI_prior,z_corr_rotated,scaling_sparsity
15,0.25,0.9981171050431306,muVI_prior,z_corr_rotated,scaling_sparsity
14,0.25,0.9971455180287228,muVI_prior,z_corr_rotated,scaling_sparsity
13,0.25,0.9944676976097885,muVI_prior,z_corr_rotated,scaling_sparsity
12,0.25,0.9981001390106398,muVI_prior,z_corr_rotated,scaling_sparsity
11,0.25,0.9951612839048609,muVI_prior,z_corr_rotated,scaling_sparsity
10,0.25,0.9982313997842975,muVI_prior,z_corr_rotated,scaling_sparsity
9,0.0,0.9973189212859503,muVI_prior,z_corr_rotated,scaling_sparsity
8,0.0,0.9961391262891282,muVI_prior,z_corr_rotated,scaling_sparsity
7,0.0,0.9965298275726431,muVI_prior,z_corr_rotated,scaling_sparsity
6,0.0,0.982062902617663,muVI_prior,z_corr_rotated,scaling_sparsity
5,0.0,0.9968803860557613,muVI_prior,z_corr_rotated,scaling_sparsity
4,0.0,0.9974355451433844,muVI_prior,z_corr_rotated,scaling_sparsity
3,0.0,0.9950605413763599,muVI_prior,z_corr_rotated,scaling_sparsity
2,0.0,0.9970872439173499,muVI_prior,z_corr_rotated,scaling_sparsity
1,0.0,0.9936210202671065,muVI_prior,z_corr_rotated,scaling_sparsity
