,factor,feature_name,weight,view
104,0,delta energy_entropy_std_pyAA,-0.2230688394653108,0
105,0,delta spectral_centroid_std_pyAA,-0.4847979876097937,0
106,0,delta spectral_spread_std_pyAA,-0.3056565229333221,0
107,0,delta spectral_entropy_std_pyAA,-0.049870195234673884,0
108,0,delta spectral_flux_std_pyAA,-0.08938526751284898,0
109,0,delta spectral_rolloff_std_pyAA,-0.17338274791065247,0
110,0,delta mfcc_1_std_pyAA,-0.20385933865336825,0
111,0,delta mfcc_2_std_pyAA,-0.1688311751047991,0
112,0,delta mfcc_3_std_pyAA,-0.1285444316670557,0
113,0,delta mfcc_4_std_pyAA,-0.08537969015081191,0
114,0,delta mfcc_5_std_pyAA,-0.03356508751270902,0
115,0,delta mfcc_6_std_pyAA,-0.026545056633993296,0
116,0,delta mfcc_7_std_pyAA,-0.01825901245374913,0
117,0,delta mfcc_8_std_pyAA,0.02044943298817848,0
118,0,delta mfcc_9_std_pyAA,0.05531269429053381,0
119,0,delta mfcc_10_std_pyAA,0.03725464160660477,0
120,0,delta mfcc_11_std_pyAA,0.08744561675238781,0
121,0,delta mfcc_12_std_pyAA,0.08045026052586288,0
122,0,delta mfcc_13_std_pyAA,0.010192347105949176,0
123,0,delta chroma_1_std_pyAA,-0.3702878487221384,0
124,0,delta chroma_2_std_pyAA,-0.03975719393372347,0
125,0,delta chroma_3_std_pyAA,-0.21327833626809814,0
126,0,delta chroma_4_std_pyAA,-0.2325630550904075,0
127,0,delta chroma_5_std_pyAA,-0.29355206411552925,0
128,0,delta chroma_6_std_pyAA,-0.12268173884912915,0
129,0,delta chroma_7_std_pyAA,-0.11307178973455508,0
130,0,delta chroma_8_std_pyAA,0.14942921889178687,0
131,0,delta chroma_9_std_pyAA,-0.02123331179174265,0
132,0,delta chroma_10_std_pyAA,-0.19894248830882816,0
133,0,delta chroma_11_std_pyAA,-0.20643811542308324,0
134,0,delta chroma_12_std_pyAA,-0.04062727006661917,0
135,0,delta chroma_std_std_pyAA,-0.1488441087883959,0
136,0,tempo_pyAA,0.014049483215454388,0
137,0,global_highest_pitch_cents_all,0.6003364538161245,1
138,0,global_lowest_pitch_cents_all,0.7105738805881827,1
139,0,global_pitch_range_cents_all,-0.022000636579681373,1
140,0,duration_mean_all,0.20696535682740977,1
141,0,interval_duration_mean_all,-0.35257263780723525,1
142,0,interval_duration_std_all,-0.33481325476040025,1
143,0,global_highest_pitch_cents_onethird,0.6346518226928991,1
144,0,global_lowest_pitch_cents_onethird,0.684299201065687,1
145,0,global_pitch_range_cents_onethird,0.057536406958902706,1
146,0,global_vibrato_coverage_onethird,0.0646326989950983,1
147,0,duration_mean_onethird,0.23558173969201338,1
148,0,pitch_mean_height_cents_mean_onethird,0.8169392270854041,1
149,0,pitch_deviation_cents_mean_onethird,0.33375173052634505,1
150,0,pitch_range_cents_mean_onethird,0.42138848338521134,1
151,0,pitch_min_cents_mean_onethird,0.7634633583106456,1
152,0,pitch_max_cents_mean_onethird,0.8122776710098984,1
153,0,pitch_mean_height_hz_mean_onethird,0.7897026484687811,1
154,0,pitch_deviation_hz_mean_onethird,0.6626465472931581,1
155,0,pitch_range_hz_mean_onethird,0.7177402129679712,1
156,0,pitch_min_hz_mean_onethird,0.7403417248943301,1
157,0,pitch_max_hz_mean_onethird,0.7913175370289592,1
158,0,vibrato_length_mean_onethird,0.2249363246728023,1
159,0,vibrato_coverage_mean_onethird,0.09066721364792756,1
160,0,vibrato_rate_hz_mean_onethird,0.025644547183700343,1
161,0,vibrato_extend_cents_mean_onethird,0.6078998260822183,1
162,0,vibrato_extend_hz_mean_onethird,0.5593580698242645,1
163,0,duration_std_onethird,0.23249015998555533,1
164,0,pitch_mean_height_cents_std_onethird,-0.09682730322780629,1
165,0,pitch_deviation_cents_std_onethird,0.0066516144358606455,1
166,0,pitch_range_cents_std_onethird,0.07323650016458673,1
167,0,pitch_min_cents_std_onethird,-0.06793750320422699,1
168,0,pitch_max_cents_std_onethird,-0.15615536263122268,1
169,0,pitch_mean_height_hz_std_onethird,0.3222452761742057,1
170,0,pitch_deviation_hz_std_onethird,0.41985856312113745,1
171,0,pitch_range_hz_std_onethird,0.4738958302237914,1
172,0,pitch_min_hz_std_onethird,0.3410014761764187,1
173,0,pitch_max_hz_std_onethird,0.3193121382845409,1
174,0,vibrato_length_std_onethird,0.17347460494234576,1
175,0,vibrato_coverage_std_onethird,-0.08067307045378794,1
176,0,vibrato_rate_hz_std_onethird,-0.09417903045981661,1
177,0,vibrato_extend_cents_std_onethird,-0.06667086493565479,1
178,0,vibrato_extend_hz_std_onethird,0.41881103287793314,1
179,0,lowlevel.average_loudness_essentia,0.3094743056365561,2
180,0,lowlevel.barkbands_crest.mean_essentia,-0.6297755871496353,2
181,0,lowlevel.barkbands_crest.stdev_essentia,-0.3248660558839714,2
182,0,lowlevel.barkbands_flatness_db.mean_essentia,-0.49006439155880477,2
183,0,lowlevel.barkbands_flatness_db.stdev_essentia,-0.5547291504914492,2
184,0,lowlevel.barkbands_kurtosis.mean_essentia,-0.7709881354139119,2
185,0,lowlevel.barkbands_kurtosis.stdev_essentia,-0.6147763002488973,2
186,0,lowlevel.barkbands_skewness.mean_essentia,-0.8216313603646023,2
187,0,lowlevel.barkbands_skewness.stdev_essentia,-0.5338842454254836,2
188,0,lowlevel.barkbands_spread.mean_essentia,0.47203726180891253,2
189,0,lowlevel.barkbands_spread.stdev_essentia,-0.24767999390877732,2
190,0,lowlevel.dissonance.mean_essentia,0.5670142436386663,2
191,0,lowlevel.dissonance.stdev_essentia,-0.540934665037589,2
192,0,lowlevel.dynamic_complexity_essentia,-0.38571746829107356,2
193,0,lowlevel.erbbands_crest.mean_essentia,-0.27437237188063623,2
194,0,lowlevel.erbbands_crest.stdev_essentia,-0.2716484835700246,2
195,0,lowlevel.erbbands_flatness_db.mean_essentia,0.044527295390089996,2
196,0,lowlevel.erbbands_flatness_db.stdev_essentia,-0.2575643122920926,2
197,0,lowlevel.erbbands_kurtosis.mean_essentia,-0.23977672973191308,2
198,0,lowlevel.erbbands_kurtosis.stdev_essentia,-0.39463367722842063,2
199,0,lowlevel.erbbands_skewness.mean_essentia,-0.6445396581558072,2
200,0,lowlevel.erbbands_skewness.stdev_essentia,-0.4642882553022787,2
201,0,lowlevel.erbbands_spread.mean_essentia,-0.28556609664659466,2
202,0,lowlevel.erbbands_spread.stdev_essentia,-0.524499738982848,2
203,0,lowlevel.hfc.mean_essentia,0.4805131108855725,2
204,0,lowlevel.hfc.stdev_essentia,-0.018268009283850434,2
205,0,lowlevel.loudness_ebu128.integrated_essentia,0.5049942306381057,2
206,0,lowlevel.loudness_ebu128.loudness_range_essentia,-0.27089025628041324,2
207,0,lowlevel.loudness_ebu128.momentary.mean_essentia,0.5046899736440665,2
208,0,lowlevel.loudness_ebu128.momentary.stdev_essentia,-0.21167808615887398,2
209,0,lowlevel.loudness_ebu128.short_term.mean_essentia,0.5065012806974666,2
210,0,lowlevel.loudness_ebu128.short_term.stdev_essentia,-0.23664694587867963,2
211,0,lowlevel.melbands_crest.mean_essentia,-0.5559475837008878,2
212,0,lowlevel.melbands_crest.stdev_essentia,-0.1698772137112926,2
213,0,lowlevel.melbands_flatness_db.mean_essentia,-0.5769380256881315,2
214,0,lowlevel.melbands_flatness_db.stdev_essentia,-0.5388688800651765,2
215,0,lowlevel.melbands_kurtosis.mean_essentia,-0.749177455640178,2
216,0,lowlevel.melbands_kurtosis.stdev_essentia,-0.5683091934078677,2
217,0,lowlevel.melbands_skewness.mean_essentia,-0.69215956995422,2
218,0,lowlevel.melbands_skewness.stdev_essentia,-0.4966197747436288,2
219,0,lowlevel.melbands_spread.mean_essentia,0.6519561297718882,2
220,0,lowlevel.melbands_spread.stdev_essentia,0.06221701778954128,2
221,0,lowlevel.pitch_salience.mean_essentia,0.39635319611560643,2
222,0,lowlevel.pitch_salience.stdev_essentia,-0.3787720106369948,2
223,0,lowlevel.silence_rate_20dB.mean_essentia,0.09791415008976763,2
224,0,lowlevel.silence_rate_20dB.stdev_essentia,-0.09806808799954725,2
225,0,lowlevel.silence_rate_30dB.mean_essentia,1.4007700831791299,2
226,0,lowlevel.silence_rate_30dB.stdev_essentia,-1.401060218462021,2
227,0,lowlevel.silence_rate_60dB.mean_essentia,-0.1319936456661856,2
228,0,lowlevel.silence_rate_60dB.stdev_essentia,-0.13273092972999756,2
229,0,lowlevel.spectral_centroid.mean_essentia,0.615864723298444,2
230,0,lowlevel.spectral_centroid.stdev_essentia,-0.2594154774171841,2
231,0,lowlevel.spectral_complexity.mean_essentia,0.6418959807905384,2
232,0,lowlevel.spectral_complexity.stdev_essentia,0.37247246731630157,2
233,0,lowlevel.spectral_energy.mean_essentia,-0.14453752726517013,2
234,0,lowlevel.spectral_energy.stdev_essentia,-0.46875623304863223,2
235,0,lowlevel.spectral_energyband_high.stdev_essentia,-0.09009252565009647,2
236,0,lowlevel.spectral_energyband_low.mean_essentia,-0.21088630967874422,2
237,0,lowlevel.spectral_energyband_low.stdev_essentia,-0.21375164172527725,2
238,0,lowlevel.spectral_energyband_middle_high.mean_essentia,0.7340888157584123,2
239,0,lowlevel.spectral_energyband_middle_high.stdev_essentia,0.25487259383607874,2
240,0,lowlevel.spectral_energyband_middle_low.mean_essentia,-0.3733387683913742,2
241,0,lowlevel.spectral_energyband_middle_low.stdev_essentia,-0.5527719780019468,2
242,0,lowlevel.spectral_entropy.mean_essentia,0.41750283639243135,2
243,0,lowlevel.spectral_entropy.stdev_essentia,-0.6411473318262898,2
244,0,lowlevel.spectral_flux.mean_essentia,0.27729193377862527,2
245,0,lowlevel.spectral_flux.stdev_essentia,-0.2551255015826165,2
246,0,lowlevel.spectral_kurtosis.mean_essentia,-0.16539845630103409,2
247,0,lowlevel.spectral_kurtosis.stdev_essentia,-0.30724186394861486,2
248,0,lowlevel.spectral_rolloff.mean_essentia,0.5709609229895922,2
249,0,lowlevel.spectral_rolloff.stdev_essentia,-0.1871656542804085,2
250,0,lowlevel.spectral_skewness.mean_essentia,-0.38543048602470203,2
251,0,lowlevel.spectral_skewness.stdev_essentia,-0.46743890957265744,2
252,0,lowlevel.spectral_spread.mean_essentia,-0.28534169737741094,2
253,0,lowlevel.spectral_spread.stdev_essentia,-0.37529133452639707,2
254,0,lowlevel.spectral_strongpeak.mean_essentia,0.27826342397466963,2
255,0,lowlevel.spectral_strongpeak.stdev_essentia,0.312694481653696,2
256,0,lowlevel.zerocrossingrate.mean_essentia,0.4723730467229817,2
257,0,lowlevel.zerocrossingrate.stdev_essentia,-0.22524382128569534,2
258,0,rhythm.beats_count_essentia,0.13274417405099223,2
259,0,rhythm.beats_loudness.mean_essentia,-0.205786587452159,2
260,0,rhythm.beats_loudness.stdev_essentia,-0.5011394382158395,2
261,0,rhythm.bpm_essentia,0.1186824873562303,2
262,0,rhythm.bpm_histogram_first_peak_bpm_essentia,0.118750513970401,2
263,0,rhythm.bpm_histogram_first_peak_weight_essentia,-0.07686169066082374,2
264,0,rhythm.bpm_histogram_second_peak_bpm_essentia,0.08102504503558745,2
265,0,rhythm.bpm_histogram_second_peak_spread_essentia,-0.16950394416626086,2
266,0,rhythm.bpm_histogram_second_peak_weight_essentia,0.0062933442158772165,2
267,0,rhythm.danceability_essentia,0.1375740322170805,2
268,0,rhythm.onset_rate_essentia,0.03222973415721585,2
269,0,tonal.hpcp_crest.mean_essentia,-0.35489059327440403,2
270,0,tonal.hpcp_crest.stdev_essentia,-0.24254404531424206,2
271,0,tonal.hpcp_entropy.mean_essentia,0.368745412040337,2
272,0,tonal.hpcp_entropy.stdev_essentia,0.027611617834930793,2
273,0,tonal.tuning_diatonic_strength_essentia,0.05921099351701847,2
274,0,tonal.tuning_equal_tempered_deviation_essentia,0.019111408088546843,2
275,0,tonal.tuning_frequency_essentia,0.015348237041200731,2
276,0,tonal.tuning_nontempered_energy_ratio_essentia,0.034950098010718605,2
277,0,lines,0.6447278531937223,3
278,0,words,0.7228385432564958,3
279,0,verses,0.41722288031936544,3
280,0,words_token,0.7340809972406886,3
281,0,unique_words_token,0.4614853779042053,3
282,0,length_mean_words_token,-0.10551199194594547,3
283,0,length_max_words_token,0.2639588155500056,3
284,0,length_mstd_words_token,0.10415450504471124,3
285,0,polarity,-0.05356018732709769,3
286,0,subjectivity,-0.017846540454121488,3
287,0,DET,0.49155028042371857,3
288,0,PRON,0.6130675260278889,3
289,0,CCONJ,0.41516450527768883,3
290,0,ADP,0.5320958446230123,3
291,0,PUNCT,0.3236217515335906,3
292,1,zcr_mean_pyAA,0.4392131972609222,0
293,1,energy_mean_pyAA,0.2192372718744959,0
294,1,energy_entropy_mean_pyAA,0.18846027535118723,0
295,1,spectral_centroid_mean_pyAA,0.3792028860325665,0
296,1,spectral_spread_mean_pyAA,0.09034904718099834,0
297,1,spectral_entropy_mean_pyAA,0.40696593162712913,0
298,1,spectral_flux_mean_pyAA,-0.1716781247921541,0
299,1,spectral_rolloff_mean_pyAA,0.42042293846532264,0
300,1,mfcc_1_mean_pyAA,0.3446945435920112,0
301,1,mfcc_2_mean_pyAA,-0.36196569723241945,0
302,1,mfcc_3_mean_pyAA,-0.10924129214092515,0
303,1,mfcc_4_mean_pyAA,-0.24120568622977548,0
304,1,mfcc_5_mean_pyAA,-0.03379136874960849,0
305,1,mfcc_6_mean_pyAA,-0.12425485766915954,0
306,1,mfcc_7_mean_pyAA,-0.06784993147998424,0
307,1,mfcc_8_mean_pyAA,-0.21661165026010293,0
308,1,mfcc_9_mean_pyAA,-0.105846467269138,0
309,1,mfcc_10_mean_pyAA,-0.0917195826523342,0
310,1,mfcc_11_mean_pyAA,0.030272212970877118,0
311,1,mfcc_12_mean_pyAA,-0.00684554290708192,0
312,1,mfcc_13_mean_pyAA,0.03400582634546264,0
313,1,chroma_1_mean_pyAA,-0.12694301528029847,0
314,1,chroma_2_mean_pyAA,0.12396867863427444,0
315,1,chroma_3_mean_pyAA,-0.26197290082192437,0
316,1,chroma_4_mean_pyAA,0.06263906582188558,0
317,1,chroma_5_mean_pyAA,-0.2189096670553141,0
318,1,chroma_6_mean_pyAA,0.11122818786729233,0
319,1,chroma_7_mean_pyAA,-0.1548566277288296,0
320,1,chroma_8_mean_pyAA,0.33946218452878996,0
321,1,chroma_9_mean_pyAA,0.219244748807461,0
322,1,chroma_10_mean_pyAA,-0.14195170585623496,0
323,1,chroma_11_mean_pyAA,-0.2992018742009125,0
324,1,chroma_12_mean_pyAA,0.14336431428281024,0
325,1,chroma_std_mean_pyAA,-0.36751831966804255,0
326,1,delta zcr_mean_pyAA,0.260055074041674,0
327,1,delta energy_mean_pyAA,0.09144635231628459,0
328,1,delta energy_entropy_mean_pyAA,0.12485051125761874,0
329,1,delta spectral_centroid_mean_pyAA,0.08169059899482271,0
330,1,delta spectral_spread_mean_pyAA,-0.05321571258088669,0
331,1,delta spectral_entropy_mean_pyAA,0.23847332119778317,0
332,1,delta spectral_flux_mean_pyAA,-0.08734578146279015,0
333,1,delta spectral_rolloff_mean_pyAA,0.23358506500412754,0
334,1,delta mfcc_1_mean_pyAA,-0.04538608296827258,0
335,1,delta mfcc_2_mean_pyAA,-0.2600070475387348,0
336,1,delta mfcc_3_mean_pyAA,-0.076041751123291,0
337,1,delta mfcc_4_mean_pyAA,-0.065791322464195,0
338,1,delta mfcc_5_mean_pyAA,-0.02328027427562468,0
339,1,delta mfcc_6_mean_pyAA,-0.05356233958233355,0
340,1,delta mfcc_7_mean_pyAA,-0.05630909932699271,0
341,1,delta mfcc_8_mean_pyAA,-0.07902000238266514,0
342,1,delta mfcc_9_mean_pyAA,-0.031453700998733444,0
343,1,delta mfcc_10_mean_pyAA,0.012845761442651309,0
344,1,delta mfcc_11_mean_pyAA,-0.04833154655594484,0
345,1,delta mfcc_12_mean_pyAA,0.02316693637772385,0
346,1,delta mfcc_13_mean_pyAA,0.03799804954040751,0
347,1,delta chroma_1_mean_pyAA,-0.045709498245598695,0
348,1,delta chroma_2_mean_pyAA,0.03757241086765881,0
349,1,delta chroma_3_mean_pyAA,-0.168590235816306,0
350,1,delta chroma_4_mean_pyAA,0.04664986207170684,0
351,1,delta chroma_5_mean_pyAA,-0.0016096252507543233,0
352,1,delta chroma_6_mean_pyAA,0.05624587294751633,0
353,1,delta chroma_7_mean_pyAA,-0.08119074277373352,0
354,1,delta chroma_8_mean_pyAA,0.18488216326491083,0
355,1,delta chroma_9_mean_pyAA,0.05979682314495852,0
356,1,delta chroma_10_mean_pyAA,-0.0407438366830457,0
357,1,delta chroma_11_mean_pyAA,-0.10370599115494278,0
358,1,delta chroma_12_mean_pyAA,0.06840811002444153,0
359,1,delta chroma_std_mean_pyAA,-0.20615582776491848,0
360,1,zcr_std_pyAA,0.12341107061997418,0
361,1,energy_std_pyAA,0.07622239995810205,0
362,1,energy_entropy_std_pyAA,-0.04877866347321706,0
363,1,spectral_centroid_std_pyAA,-0.11737964131742817,0
364,1,spectral_spread_std_pyAA,-0.4682707024452827,0
365,1,spectral_entropy_std_pyAA,0.12783143945816347,0
366,1,spectral_flux_std_pyAA,-0.08861957627766871,0
367,1,spectral_rolloff_std_pyAA,0.15877223382573732,0
368,1,mfcc_1_std_pyAA,-0.19202594396408515,0
369,1,mfcc_2_std_pyAA,-0.12954390078667802,0
370,1,mfcc_3_std_pyAA,0.06279839936868792,0
371,1,mfcc_4_std_pyAA,0.13510803816964861,0
372,1,mfcc_5_std_pyAA,0.0716255470035167,0
373,1,mfcc_6_std_pyAA,0.121824237536132,0
374,1,mfcc_7_std_pyAA,0.1264976370467383,0
375,1,mfcc_8_std_pyAA,0.17763254767683834,0
376,1,mfcc_9_std_pyAA,0.16818094167830652,0
377,1,mfcc_10_std_pyAA,0.21956206347886623,0
378,1,mfcc_11_std_pyAA,0.2309227772961281,0
379,1,mfcc_12_std_pyAA,0.21732537146875405,0
380,1,mfcc_13_std_pyAA,0.14238657996377985,0
381,1,chroma_1_std_pyAA,-0.14482881015649354,0
382,1,chroma_2_std_pyAA,0.07823529024396347,0
383,1,chroma_3_std_pyAA,-0.2460243437901649,0
384,1,chroma_4_std_pyAA,0.020642852397091377,0
385,1,chroma_5_std_pyAA,-0.19406309271850938,0
386,1,chroma_6_std_pyAA,0.08935456356270709,0
387,1,chroma_7_std_pyAA,-0.11689607557989352,0
388,1,chroma_8_std_pyAA,0.26342200467821275,0
389,1,chroma_9_std_pyAA,0.1938498768537211,0
390,1,chroma_10_std_pyAA,-0.1112646811637299,0
391,1,chroma_11_std_pyAA,-0.2601215133898171,0
392,1,chroma_12_std_pyAA,0.08937131483028388,0
393,1,chroma_std_std_pyAA,-0.13768660182951858,0
394,1,delta zcr_std_pyAA,0.259343561626512,0
395,1,delta energy_std_pyAA,0.18438811762390916,0
